,x,y,v,phi,a,delta,i_traj
0,1.4942041648310165,-0.13173425447333334,14.4,-0.05269370178933334,-6.0,-0.17453292519943295,0.0
1,2.9199883580578856,-0.33357437522341055,13.8,-0.10327965550709334,-6.0,-0.17453292519943295,0.0
2,4.274836338174486,-0.5958470401619582,13.200000000000001,-0.15175786115328002,-6.0,-0.17453292519943295,0.0
3,5.557098422439243,-0.9092221305201464,12.600000000000001,-0.19812831872789335,-6.0,-0.17453292519943295,0.0
4,6.765894332064779,-1.2647674143766112,12.000000000000002,-0.24239102823093336,-6.0,-0.17453292519943295,0.0
5,7.901017869860153,-1.6539904274975128,11.400000000000002,-0.2845459896624,-6.0,-0.17453292519943295,0.0
6,8.962844540344934,-2.0688688697516344,10.800000000000002,-0.32459320302229333,-6.0,-0.17453292519943295,0.0
7,9.952242991398053,-2.501870838631325,10.200000000000003,-0.36253266831061337,-6.0,-0.17453292519943295,0.0
8,10.870490948204335,-2.9459661998107567,9.600000000000003,-0.39836438552736003,-6.0,-0.17453292519943295,0.0
9,11.719196125214406,-3.3946303531775097,9.000000000000004,-0.43208835467253337,-6.0,-0.17453292519943295,0.0
10,12.500222440010123,-3.841841595876774,8.400000000000004,-0.4637045757461334,-6.0,-0.17453292519943295,0.0
11,13.215621713836908,-4.282073215604513,7.800000000000004,-0.4932130487481601,-6.0,-0.17453292519943295,0.0
12,13.867570926207383,-4.710281371166172,7.200000000000005,-0.5206137736786134,-6.0,-0.17453292519943295,0.0
13,14.458314994190006,-5.121889736172695,6.600000000000005,-0.5459067505374934,-6.0,-0.17453292519943295,0.0
14,14.990114969362986,-5.512771798188873,6.000000000000005,-0.5690919793248,-6.0,-0.17453292519943295,0.0
15,15.465201485401595,-5.879231621741603,5.400000000000006,-0.5901694600405334,-6.0,-0.17453292519943295,0.0
16,15.885733245274304,-6.217983800979409,4.800000000000006,-0.6091391926846934,-6.0,-0.17453292519943295,0.0
17,16.25376030743292,-6.526133247707613,4.200000000000006,-0.6260011772572801,-6.0,-0.17453292519943295,0.0
18,16.571191913600885,-6.801155383917821,3.6000000000000063,-0.6407554137582935,-6.0,-0.17453292519943295,0.0
19,16.839768595252472,-7.040877235389523,3.000000000000006,-0.6534019021877335,-6.0,-0.17453292519943295,0.0
20,17.06103830016859,-7.243459854797838,2.400000000000006,-0.6639406425456003,-6.0,-0.17453292519943295,0.0
21,17.236336293174542,-7.407382439111549,1.800000000000006,-0.6723716348318937,-6.0,-0.17453292519943295,0.0
22,17.36676860502812,-7.5314284468043855,1.200000000000006,-0.6786948790466136,-6.0,-0.17453292519943295,0.0
23,17.45319882924409,-7.614673965254192,0.6000000000000059,-0.6829103751897603,-6.0,-0.17453292519943295,0.0
24,17.49623809731625,-7.656478527251811,5.773159728050814e-15,-0.6850181232613336,-6.0,-0.17453292519943295,0.0
25,17.49623809731625,-7.656478527251811,0.0,-0.6850181232613336,-6.0,-0.17453292519943295,0.0
26,1.496760702073578,-0.0985261423593253,14.4,-0.039410456943730125,-6.0,-0.1308996938995747,1.0
27,2.9288085659094376,-0.2496516388288195,13.8,-0.07724449560971104,-6.0,-0.1308996938995747,1.0
28,4.294727520429721,-0.4462868586705777,13.200000000000001,-0.11350211599794274,-6.0,-0.1308996938995747,1.0
29,5.593581943913141,-0.6816104371695288,12.600000000000001,-0.14818331810842525,-6.0,-0.1308996938995747,1.0
30,6.824863213812363,-0.9490920896157482,12.000000000000002,-0.18128810194115855,-6.0,-0.1308996938995747,1.0
31,7.988437813352236,-1.2425101383203665,11.400000000000002,-0.21281646749614264,-6.0,-0.1308996938995747,1.0
32,9.084497339775874,-1.5559643048838216,10.800000000000002,-0.24276841477337752,-6.0,-0.1308996938995747,1.0
33,10.113510687781316,-1.8838843098036646,10.200000000000003,-0.2711439437728632,-6.0,-0.1308996938995747,1.0
34,11.076178617638584,-2.221034805612765,9.600000000000003,-0.2979430544945997,-6.0,-0.1308996938995747,1.0
35,11.973390860644388,-2.5625171492273298,9.000000000000004,-0.32316574693858696,-6.0,-0.1308996938995747,1.0
36,12.806185864800064,-2.9037684950903873,8.400000000000004,-0.34681202110482506,-6.0,-0.1308996938995747,1.0
37,13.575713240641369,-3.2405586639356136,7.800000000000004,-0.36888187699331393,-6.0,-0.1308996938995747,1.0
38,14.283198930692844,-3.5689852133684936,7.200000000000005,-0.3893753146040536,-6.0,-0.1308996938995747,1.0
39,14.929913095700769,-3.8854671066548305,6.600000000000005,-0.40829233393704406,-6.0,-0.1308996938995747,1.0
40,15.517140686217806,-4.186737345702029,6.000000000000005,-0.42563293499228533,-6.0,-0.1308996938995747,1.0
41,16.04615464884745,-4.469834903697298,5.400000000000006,-0.4413971177697774,-6.0,-0.1308996938995747,1.0
42,16.518191702073096,-4.732096262616308,4.800000000000006,-0.45558488226952026,-6.0,-0.1308996938995747,1.0
43,16.934430606657926,-4.971146831136908,4.200000000000006,-0.46819622849151393,-6.0,-0.1308996938995747,1.0
44,17.295972849673703,-5.184892489607719,3.6000000000000063,-0.47923115643575837,-6.0,-0.1308996938995747,1.0
45,17.603825658874978,-5.3715114807819395,3.000000000000006,-0.4886896661022536,-6.0,-0.1308996938995747,1.0
46,17.85888726496728,-5.529446838120367,2.400000000000006,-0.49657175749099963,-6.0,-0.1308996938995747,1.0
47,18.061934332927684,-5.657399517626046,1.800000000000006,-0.5028774306019965,-6.0,-0.1308996938995747,1.0
48,18.213611489543105,-5.754322374378527,1.200000000000006,-0.5076066854352441,-6.0,-0.1308996938995747,1.0
